filename,label,meter,alt_meter
/MAG/00553.wav,three,3,6
/MAG/00528.wav,three,3,6
/GTZAN/rock.00099.wav,four,4,2
/GTZAN/country.00063.wav,four,4,2
/MAG/00291.wav,three,3,6
/MAG/00575.wav,three,3,6
/MAG/00040.wav,three,3,6
/MAG/00380.wav,seven,7,5
/MAG/00057.wav,five,5,7
/GTZAN/hiphop.00092.wav,four,4,2
/FMA/005521.wav,four,4,2
/MAG/00530.wav,three,3,6
/GTZAN/disco.00038.wav,four,4,2
/FMA/000585.wav,four,4,2
/FMA/117867.wav,three,3,6
/GTZAN/reggae.00034.wav,four,4,2
/FMA/097586.wav,three,3,6
/FMA/037368.wav,three,3,6
/MAG/00038.wav,three,3,6
/MAG/00079.wav,five,5,7
/GTZAN/hiphop.00038.wav,four,4,2
/GTZAN/pop.00052.wav,four,4,2
/FMA/127199.wav,three,3,6
/OWN/0022.wav,five,5,7
/MAG/00499.wav,three,3,6
/GTZAN/country.00075.wav,four,4,2
/OWN/0084.wav,seven,7,5
/MAG/00912.wav,three,3,6
/FMA/121740.wav,three,3,6
/GTZAN/country.00011.wav,four,4,2
/GTZAN/metal.00052.wav,four,4,2
/MAG/00067.wav,five,5,7
/MAG/00874.wav,three,3,6
/MAG/00654.wav,seven,7,5
/GTZAN/pop.00046.wav,four,4,2
/FMA/008914.wav,four,4,2
/MAG/00136.wav,three,3,6
/FMA/118195.wav,three,3,6
/GTZAN/classical.00007.wav,three,3,6
/GTZAN/disco.00086.wav,four,4,2
/MAG/00527.wav,three,3,6
/MAG/00429.wav,three,3,6
/FMA/003598.wav,three,3,6
/FMA/003908.wav,four,4,2
/MAG/00220.wav,three,3,6
/FMA/074385.wav,three,3,6
/FMA/004099.wav,three,3,6
/MAG/00685.wav,three,3,6
/MAG/00089.wav,three,3,6
/FMA/143095.wav,three,3,6
/FMA/006390.wav,seven,7,5
/FMA/008531.wav,four,4,2
/GTZAN/disco.00077.wav,four,4,2
/GTZAN/reggae.00063.wav,four,4,2
/FMA/001419.wav,four,4,2
/GTZAN/hiphop.00047.wav,four,4,2
/FMA/070434.wav,three,3,6
/FMA/058117.wav,three,3,6
/GTZAN/blues.00009.wav,four,4,2
/FMA/047670.wav,three,3,6
/FMA/005153.wav,four,4,2
/GTZAN/hiphop.00006.wav,four,4,2
/FMA/118327.wav,three,3,6
/GTZAN/reggae.00088.wav,four,4,2
/GTZAN/rock.00041.wav,four,4,2
/MAG/00415.wav,seven,7,5
/MAG/00754.wav,seven,7,5
/GTZAN/hiphop.00095.wav,four,4,2
/FMA/004072.wav,four,4,2
/MAG/00774.wav,three,3,6
/MAG/00911.wav,three,3,6
/MAG/00791.wav,three,3,6
/FMA/001642.wav,four,4,2
/MAG/00202.wav,three,3,6
/GTZAN/metal.00035.wav,four,4,2
/FMA/006331.wav,five,5,7
/FMA/135041.wav,three,3,6
/FMA/060758.wav,seven,7,5
/GTZAN/classical.00065.wav,three,3,6
/GTZAN/metal.00089.wav,four,4,2
/OWN/0138.wav,seven,7,5
/MAG/00852.wav,three,3,6
/MAG/00023.wav,three,3,6
/FMA/026643.wav,three,3,6
/FMA/003624.wav,four,4,2
/MAG/00540.wav,three,3,6
/MAG/00222.wav,three,3,6
/GTZAN/jazz.00085.wav,four,4,2
/GTZAN/country.00033.wav,four,4,2
/MAG/00393.wav,seven,7,5
/MAG/00319.wav,three,3,6
/FMA/005340.wav,four,4,2
/GTZAN/pop.00001.wav,four,4,2
/MAG/00651.wav,seven,7,5
/GTZAN/metal.00008.wav,four,4,2
/MAG/00345.wav,five,5,7
/GTZAN/rock.00019.wav,four,4,2
/MAG/00519.wav,three,3,6
/FMA/122499.wav,three,3,6
/GTZAN/blues.00023.wav,four,4,2
/GTZAN/blues.00002.wav,four,4,2
/FMA/003832.wav,three,3,6
/GTZAN/pop.00082.wav,four,4,2
/MAG/00368.wav,five,5,7
/GTZAN/rock.00054.wav,four,4,2
/GTZAN/pop.00024.wav,four,4,2
/MAG/00837.wav,three,3,6
/FMA/130952.wav,three,3,6
/FMA/001427.wav,four,4,2
/MAG/00807.wav,three,3,6
/GTZAN/pop.00075.wav,four,4,2
/MAG/00653.wav,seven,7,5
/FMA/003904.wav,four,4,2
/FMA/006276.wav,four,4,2
/FMA/004788.wav,four,4,2
/MAG/00796.wav,three,3,6
/GTZAN/rock.00039.wav,four,4,2
/GTZAN/country.00021.wav,four,4,2
/FMA/082505.wav,three,3,6
/GTZAN/jazz.00024.wav,four,4,2
/FMA/051503.wav,three,3,6
/MAG/00662.wav,three,3,6
/FMA/090635.wav,three,3,6
/FMA/047915.wav,three,3,6
/FMA/026680.wav,five,5,7
/GTZAN/country.00017.wav,four,4,2
/MAG/00596.wav,three,3,6
/GTZAN/rock.00047.wav,four,4,2
/MAG/00855.wav,three,3,6
/OWN/0010.wav,five,5,7
/FMA/008489.wav,four,4,2
/MAG/00889.wav,five,5,7
/MAG/00148.wav,three,3,6
/MAG/00609.wav,three,3,6
/GTZAN/rock.00082.wav,four,4,2
/GTZAN/country.00038.wav,four,4,2
/FMA/117616.wav,three,3,6
/MAG/00163.wav,three,3,6
/OWN/0122.wav,seven,7,5
/GTZAN/rock.00048.wav,four,4,2
/GTZAN/metal.00012.wav,four,4,2
/MAG/00821.wav,three,3,6
/GTZAN/metal.00013.wav,four,4,2
/GTZAN/hiphop.00070.wav,four,4,2
/MAG/00806.wav,three,3,6
/GTZAN/blues.00092.wav,three,3,6
/GTZAN/blues.00024.wav,four,4,2
/GTZAN/rock.00016.wav,four,4,2
/GTZAN/pop.00020.wav,four,4,2
/OWN/0123.wav,seven,7,5
/MAG/00242.wav,three,3,6
/MAG/00691.wav,three,3,6
/GTZAN/rock.00040.wav,four,4,2
/FMA/008058.wav,four,4,2
/GTZAN/hiphop.00064.wav,four,4,2
/GTZAN/blues.00077.wav,four,4,2
/FMA/118276.wav,three,3,6
/FMA/037781.wav,three,3,6
/MAG/00478.wav,three,3,6
/MAG/00589.wav,three,3,6
/OWN/0026.wav,five,5,7
/MAG/00606.wav,five,5,7
/FMA/001153.wav,four,4,2
/MAG/00491.wav,three,3,6
/GTZAN/hiphop.00076.wav,four,4,2
/MAG/00903.wav,three,3,6
/MAG/00581.wav,three,3,6
/OWN/0101.wav,seven,7,5
/MAG/00591.wav,three,3,6
/MAG/00784.wav,three,3,6
/MAG/00164.wav,three,3,6
/OWN/0068.wav,seven,7,5
/MAG/00770.wav,three,3,6
/OWN/0117.wav,seven,7,5
/FMA/109448.wav,three,3,6
/GTZAN/jazz.00034.wav,four,4,2
/GTZAN/metal.00086.wav,four,4,2
/MAG/00344.wav,five,5,7
/MAG/00831.wav,three,3,6
/MAG/00267.wav,three,3,6
/OWN/0098.wav,seven,7,5
/FMA/081153.wav,three,3,6
/FMA/005237.wav,four,4,2
/FMA/024739.wav,five,5,7
/GTZAN/reggae.00042.wav,four,4,2
/MAG/00758.wav,seven,7,5
/MAG/00061.wav,five,5,7
/MAG/00722.wav,three,3,6
/FMA/081945.wav,three,3,6
/GTZAN/reggae.00069.wav,four,4,2
/FMA/080341.wav,five,5,7
/GTZAN/reggae.00040.wav,four,4,2
/MAG/00028.wav,three,3,6
/OWN/0015.wav,five,5,7
/GTZAN/pop.00029.wav,four,4,2
/FMA/075196.wav,three,3,6
/GTZAN/hiphop.00013.wav,four,4,2
/GTZAN/rock.00017.wav,four,4,2
/MAG/00592.wav,three,3,6
/GTZAN/disco.00089.wav,four,4,2
/FMA/006370.wav,seven,7,5
/FMA/085968.wav,three,3,6
/FMA/003913.wav,four,4,2
/MAG/00563.wav,three,3,6
/FMA/095727.wav,three,3,6
/MAG/00381.wav,seven,7,5
/GTZAN/jazz.00067.wav,four,4,2
/GTZAN/reggae.00094.wav,four,4,2
/GTZAN/metal.00011.wav,four,4,2
/MAG/00629.wav,three,3,6
